timestamp,z60_y0_x90,z60_y0_x60,z60_y0_x30,z60_y0_x0,z40_y0_x90,z40_y0_x60,z40_y0_x30,z40_y0_x0,z20_y0_x90,z20_y0_x60,z20_y0_x30,z20_y0_x0
1592816400,-13.1754891324,-13.1754891324,-54.7728074631,-99.3052480476,-38.7129500775,-44.0695700679,-97.8800079216,-246.8775,-81.5201560944,-116.2946532096,-163.6177569375,-347.3894733519
1592820000,-13.1754891324,-13.1754891324,-54.7728074631,-99.3052480476,-38.7129500775,-49.5184199511,-97.8800079216,-247.5775350975,-82.9481392764,-117.0057562191,-165.73891359,-354.6691674375
1592823600,-12.59966775,-13.1754891324,-55.4413169775,-100.0177784031,-39.3827099151,-45.4082040975,-98.5926578871,-249.8172455199,-83.6620411599,-117.7167994236,-166.4458461975,-359.7794146416
1592827200,-13.1754891324,-21.0412119996,-56.1097743951,-101.4426596991,-40.0045831164,-52.81472991,-100.7302489536,-257.9310621399,-85.0896655119,-119.1387064176,-167.8595319975,-365.6222570199
1592830800,-13.1754891324,-18.2122935519,-58.7353527516,-102.81981756,-40.0045831164,-48.1326366144,-101.4426596991,-262.3576232304,-86.5170506439,-120.5603741916,-170.6390828796,-379.4072223999
1592834400,-13.1754891324,-21.0412119996,-59.4512800311,-104.24422839,-40.6742424816,-49.5184199511,-102.81981756,-266.0368313991,-87.9441965559,-125.4869703804,-171.3456008391,-384.5015965596
1592838000,-12.59966775,-18.2122935519,-60.1671475056,-104.9563440975,-41.34384975,-50.1873387975,-104.9563440975,-276.3204885504,-88.6576798044,-122.6924273151,-172.0520589936,-389.5926957975
1592841600,-12.59966775,-21.0412119996,-62.3143910991,-108.51602556,-41.34384975,-57.3987951516,-106.3803960975,-281.4806856879,-90.0844668864,-123.4029920796,-173.4647958876,-399.7192773756
1592845200,-13.1754891324,-21.0412119996,-63.0300193536,-109.2277824375,-42.0134049216,-53.4833919936,-107.8042088775,-285.1512635964,-90.7977707199,-124.7765810439,-174.1710746271,-405.5327515119
1592848800,-13.1754891324,-21.0412119996,-63.7455878031,-109.93947951,-42.6829079964,-59.4512800311,-109.93947951,-294.7148414064,-90.7977707199,-127.6177795599,-174.8772935616,-409.1468442624
1592852400,-13.1754891324,-21.0412119996,-65.8919343216,-112.0742118975,-43.3523589744,-56.7304382064,-110.6511167775,-299.1214289559,-91.4634670071,-125.4869703804,-176.2895520156,-417.1011473916
1592856000,-13.1754891324,-13.1754891324,-66.6072635511,-112.78566975,-44.0695700679,-57.3987951516,-112.0742118975,-301.30064319,-92.1766552176,-128.3279296764,-176.9955915351,-419.2940217276
1592859600,-13.1754891324,-15.4304210151,-67.3225329756,-114.1609853511,-44.7389131311,-58.0671,-113.4496431216,-306.4449672831,-92.8897836231,-129.0380199879,-176.2895520156,-419.2940217276
1592863200,-13.1754891324,-13.1754891324,-67.3225329756,-116.2946532096,-44.7389131311,-58.0671,-113.4496431216,-306.4449672831,-93.6028522236,-127.6177795599,-174.8772935616,-412.0277799375
1592866800,-13.1754891324,-13.1754891324,-67.3225329756,-117.0057562191,-45.4082040975,-58.7353527516,-113.4496431216,-304.2671397276,-94.3158610191,-129.0380199879,-174.1710746271,-406.2648536271
1592870400,-12.59966775,-13.1754891324,-66.6072635511,-117.7167994236,-46.12524375,-57.3987951516,-113.4496431216,-300.6052130775,-95.0288100096,-129.7480504944,-173.4647958876,-399.7192773756
1592874000,-13.1754891324,-13.1754891324,-65.8919343216,-117.7167994236,-46.12524375,-57.3987951516,-112.78566975,-299.1214289559,-96.4545285756,-130.4580211959,-174.1710746271,-393.94734204
1592877600,-13.1754891324,-13.1754891324,-65.1765452871,-117.0057562191,-46.7944268016,-58.0671,-112.78566975,-298.3794348279,-97.1672981511,-131.1679320924,-174.8772935616,-391.7473995504
1592881200,-13.1754891324,-13.1754891324,-65.1765452871,-117.0057562191,-47.4635577564,-56.7304382064,-112.0742118975,-296.19943356,-97.8800079216,-131.8777831839,-174.8772935616,-390.3262778871
1592884800,-13.1754891324,-13.1754891324,-64.4610964476,-117.0057562191,-48.1326366144,-56.1097743951,-112.78566975,-295.4571715056,-99.3052480476,-129.7480504944,-176.2895520156,-391.0597919319
1592888400,-13.1754891324,-13.1754891324,-63.7455878031,-117.0057562191,-48.1326366144,-56.1097743951,-112.0742118975,-293.9724432624,-100.7302489536,-132.5875744704,-176.9955915351,-392.4807817584
1592892000,-13.1754891324,-13.1754891324,-63.7455878031,-116.2946532096,-48.8494490079,-56.7304382064,-112.0742118975,-293.2299770736,-101.4426596991,-134.0069776284,-177.7015712496,-393.2140959216
1592895600,-13.1754891324,-13.1754891324,-63.0300193536,-115.5834903951,-48.8494490079,-57.3987951516,-112.0742118975,-292.5338532231,-102.81981756,-131.1679320924,-179.0662957839,-395.4136301424
