timestamp,air_humidity
1468267200,44.0
1468270800,32.0
1468274400,33.0
1468278000,33.0
1468281600,36.0
1468285200,37.0
1468288800,40.0
1468292400,43.0
1468296000,48.0
1468299600,48.0
1468303200,44.0
1468306800,40.0
1468310400,36.0
1468314000,33.0
1468317600,33.0
1468321200,34.0
1468324800,32.0
1468328400,31.0
1468332000,32.0
1468335600,34.0
1468339200,28.0
1468342800,21.0
1468346400,21.0
1468350000,23.0
1468353600,26.0
1468357200,28.0
1468360800,30.0
1468364400,35.0
1468368000,43.0
1468371600,47.0
1468375200,50.0
1468378800,48.0
1468382400,51.0
1468386000,51.0
1468389600,43.0
1468393200,43.0
1468396800,41.0
1468400400,40.0
1468404000,37.0
1468407600,33.0
1468411200,30.0
1468414800,29.0
1468418400,27.0
1468422000,24.0
1468425600,23.0
1468429200,22.0
1468432800,21.0
1468436400,16.0
1468440000,18.0
1468443600,23.0
1468447200,28.0
1468450800,37.0
1468454400,38.0
1468458000,41.0
1468461600,38.0
1468465200,29.0
1468468800,27.0
1468472400,26.0
1468476000,24.0
1468479600,22.0
1468483200,22.0
1468486800,21.0
1468490400,22.0
1468494000,22.0
1468497600,21.0
1468501200,20.0
1468504800,20.0
1468508400,20.0
1468512000,21.0
1468515600,22.0
1468519200,23.0
1468522800,31.0
1468526400,36.0
1468530000,37.0
1468533600,36.0
1468537200,34.0
1468540800,43.0
1468544400,51.0
1468548000,57.0
1468551600,61.0
1468555200,54.0
1468558800,57.0
1468562400,60.0
1468566000,58.0
1468569600,52.0
1468573200,42.0
1468576800,36.0
1468580400,31.0
1468584000,28.0
1468587600,27.0
1468591200,27.0
1468594800,29.0
1468598400,30.0
1468602000,32.0
1468605600,33.0
1468609200,33.0
1468612800,35.0
1468616400,37.0
1468620000,40.0
1468623600,44.0
1468627200,49.0
1468630800,54.0
1468634400,56.0
1468638000,59.0
1468641600,60.0
1468645200,59.0
1468648800,54.0
1468652400,41.0
1468656000,33.0
1468659600,28.0
1468663200,24.0
1468666800,22.0
1468670400,20.0
1468674000,17.0
1468677600,18.0
1468681200,18.0
1468684800,16.0
1468688400,15.0
1468692000,17.0
1468695600,35.0
1468699200,41.0
1468702800,43.0
1468706400,41.0
1468710000,36.0
1468713600,39.0
1468717200,46.0
1468720800,57.0
1468724400,55.0
1468728000,55.0
1468731600,52.0
1468735200,48.0
1468738800,43.0
1468742400,35.0
1468746000,30.0
1468749600,25.0
1468753200,18.0
1468756800,18.0
1468760400,18.0
1468764000,17.0
1468767600,16.0
1468771200,16.0
1468774800,16.0
1468778400,17.0
1468782000,23.0
1468785600,29.0
1468789200,31.0
1468792800,33.0
1468796400,33.0
1468800000,36.0
1468803600,40.0
1468807200,43.0
1468810800,45.0
1468814400,46.0
1468818000,48.0
1468821600,46.0
1468825200,40.0
1468828800,32.0
1468832400,27.0
1468836000,25.0
1468839600,22.0
1468843200,20.0
1468846800,19.0
1468850400,19.0
1468854000,18.0
1468857600,18.0
1468861200,19.0
1468864800,21.0
1468868400,25.0
1468872000,27.0
1468875600,27.0
1468879200,28.0
1468882800,31.0
1468886400,33.0
1468890000,36.0
1468893600,40.0
1468897200,45.0
1468900800,48.0
1468904400,50.0
1468908000,48.0
1468911600,44.0
1468915200,37.0
1468918800,34.0
1468922400,32.0
1468926000,31.0
1468929600,30.0
1468933200,27.0
1468936800,26.0
1468940400,28.0
1468944000,29.0
1468947600,29.0
1468951200,31.0
1468954800,32.0
1468958400,35.0
1468962000,37.0
1468965600,41.0
1468969200,49.0
1468972800,58.0
1468976400,59.0
1468980000,57.0
1468983600,59.0
1468987200,61.0
1468990800,61.0
1468994400,59.0
1468998000,52.0
1469001600,46.0
1469005200,43.0
1469008800,40.0
1469012400,34.0
1469016000,31.0
1469019600,29.0
1469023200,29.0
1469026800,28.0
1469030400,29.0
1469034000,29.0
1469037600,34.0
1469041200,39.0
1469044800,42.0
1469048400,43.0
1469052000,44.0
1469055600,43.0
1469059200,38.0
1469062800,41.0
1469066400,46.0
1469070000,48.0
1469073600,49.0
1469077200,50.0
1469080800,46.0
1469084400,43.0
1469088000,41.0
1469091600,45.0
1469095200,48.0
1469098800,48.0
1469102400,46.0
1469106000,41.0
1469109600,36.0
1469113200,33.0
1469116800,31.0
1469120400,24.0
1469124000,22.0
1469127600,25.0
1469131200,25.0
1469134800,22.0
1469138400,19.0
1469142000,23.0
1469145600,25.0
1469149200,35.0
1469152800,39.0
1469156400,36.0
1469160000,38.0
1469163600,42.0
1469167200,43.0
1469170800,44.0
1469174400,46.0
1469178000,50.0
1469181600,51.0
1469185200,49.0
1469188800,41.0
1469192400,35.0
1469196000,33.0
1469199600,31.0
1469203200,30.0
1469206800,31.0
1469210400,36.0
1469214000,40.0
1469217600,37.0
1469221200,39.0
1469224800,44.0
1469228400,52.0
1469232000,52.0
1469235600,53.0
1469239200,55.0
1469242800,60.0
1469246400,58.0
1469250000,56.0
